basis_of_record,other_identifier,identifier,MS_identifier,title,contributor,date,display_date,start_date,description,spatial,locality,location,decimalLatitude,decimalLongitude,repository,license,rights_holder,recordId,references,visibility,type,format
PreservedSpecimen,Occurrence ID: fc59849b-c58b-4b05-a2b5-e8b5f2a988c4,VTEC000004835,450416,Scolia bicincta (Fabricius),J. M. Grayson (recorded by),1944-08-29,1944-08-29,1944-08-29,||lifeStage: Adult||preparations: pinned specimen,"""Suffolk, Virginia, United States""",Holland,36.681262 || -76.780236,36.681262,-76.780236,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,urn:uuid:fc59849b-c58b-4b05-a2b5-e8b5f2a988c4,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=48858221,TRUE,three dimensional object||still image,model/x3d || image/tiff
PreservedSpecimen,Occurrence ID: 7671e354-fe73-41a1-881c-0f4bb094388b,VTEC000004836,469738,"Euphoria fulgida ((Fabricius, 1775))",E. Day (recorded by),1998-06-03,1998-06-03,1998-06-03,||lifeStage: Adult||preparations: pinned specimen,"""Frederick, Virginia, United States""",,39.203931 || -78.271973,39.203931,-78.271973,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,urn:uuid:7671e354-fe73-41a1-881c-0f4bb094388b,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=48858222,TRUE,three dimensional object||still image,model/x3d || image/tiff
PreservedSpecimen,Occurrence ID: 7ba3801b-a6b5-4729-a1ed-8506eec33b27,VTEC000004837,469739,"Euphoria inda ((Linnaeus, 1758))",Marvin L. Bobb (recorded by),1934-08-21,1934-08-21,1934-08-21,||lifeStage: Adult||preparations: pinned specimen,"""Montgomery, Virginia, United States""",Blacksburg,37.229573 || -80.413939,37.229573,-80.413939,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,urn:uuid:7ba3801b-a6b5-4729-a1ed-8506eec33b27,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=48858223,TRUE,three dimensional object||still image,model/x3d || image/tiff
PreservedSpecimen,Occurrence ID: 645e2ce4-2b27-4fd8-8894-084d25a89281,VTEC000004838,469740,Rhaxonycha carolina,"C. B. Nolen, Jr. (recorded by)",1959-05-06,1959-05-06,1959-05-06,||lifeStage: Adult||preparations: pinned specimen,"""Montgomery, Virginia, United States""",Blacksburg,37.229573 || -80.413939,37.229573,-80.413939,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,urn:uuid:645e2ce4-2b27-4fd8-8894-084d25a89281,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=48858224,TRUE,three dimensional object||still image,model/x3d || image/tiff
PreservedSpecimen,Occurrence ID: fa0a883c-190a-41cc-9094-0f23c6c958b3,VTEC000004841,,Coccinella maculata maculata,,1936-10,1936-10,1936-10,||lifeStage: Adult||preparations: pinned specimen,"""Virginia, United States""",Blue Ridge,37.378469 || -79.806983,37.378469,-79.806983,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,urn:uuid:fa0a883c-190a-41cc-9094-0f23c6c958b3,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=48858280,TRUE,three dimensional object||still image,model/x3d || image/tiff
PreservedSpecimen,Occurrence ID: 7c387996-abfd-4870-a9cd-d6001388032f,VTEC000004842,,"Hippodamia convergens (Guérin-Méneville, 1842)",W. Tarpley (recorded by),1963-08-15,1963-08-15,1963-08-15,||lifeStage: Adult||preparations: pinned specimen,"""Middlesex, Virginia, United States""",0,37.603264 || -76.550221,37.603264,-76.550221,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,urn:uuid:7c387996-abfd-4870-a9cd-d6001388032f,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=48858327,TRUE,three dimensional object||still image,model/x3d || image/tiff
PreservedSpecimen,Occurrence ID: 6d628fb5-5e5f-4cea-9687-dfb88dde7944,VTEC000004843,572179,Chilocorus stigma,J. R. Bliss (recorded by),1962-04-23,1962-04-23,1962-04-23,habitat: Field||lifeStage: Adult||preparations: pinned specimen,"""Montgomery, Virginia, United States""",Blacksburg,37.229573 || -80.413939,37.229573,-80.413939,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,urn:uuid:6d628fb5-5e5f-4cea-9687-dfb88dde7944,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=48858354,TRUE,three dimensional object||still image,model/x3d || image/tiff
PreservedSpecimen,Occurrence ID: 3fd1117c-cbb4-4c8b-a650-ddedffe2b785,VTEC000004844,572180,Hoshihananomia octopunctata,Garth (recorded by),1942-05,1942-05,1942-05,||lifeStage: Adult||preparations: pinned specimen,"""Montgomery, Virginia, United States""",Blacksburg,37.229573 || -80.413939,37.229573,-80.413939,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,urn:uuid:3fd1117c-cbb4-4c8b-a650-ddedffe2b785,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=48858360,TRUE,three dimensional object||still image,model/x3d || image/tiff
PreservedSpecimen,Occurrence ID: 0d828112-9e71-4b84-a100-ee544bb48cc5,VTEC000004845,572181,Tomoxia lineella,Eric Day (recorded by),2002-07-09,2002-07-09,2002-07-09,||lifeStage: Adult||preparations: pinned specimen,"""Loudoun, Virginia, United States""","Malick Farm, Neersville",39.261213 || -77.725826,39.261213,-77.725826,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,urn:uuid:0d828112-9e71-4b84-a100-ee544bb48cc5,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=48858361,TRUE,three dimensional object||still image,model/x3d || image/tiff
PreservedSpecimen,Occurrence ID: fde5faff-493c-43dc-b79c-e86ddbd259b8,VTEC000004847,,"Lytta (Fabricius, 1775)",A. M. Woodside (recorded by),1946-04-15,1946-04-15,1946-04-15,habitat: on peach||lifeStage: Adult||preparations: pinned specimen,"""Albemarle, Virginia, United States""",Greenwood,38.055693 || -78.770577,38.055693,-78.770577,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,urn:uuid:fde5faff-493c-43dc-b79c-e86ddbd259b8,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=48858379,TRUE,three dimensional object||still image,model/x3d || image/tiff
PreservedSpecimen,Occurrence ID: 5fcb5cc1-417e-43eb-b81c-ea749a64c61e,VTEC000004848,572182,Pyrota mutata (Gemminger),A. M. Woodside (recorded by),1947-06-24,1947-06-24,1947-06-24,habitat: on Achillea millefolium||lifeStage: Adult||preparations: pinned specimen,"""Albemarle, Virginia, United States""",Crozet,38.069582 || -78.700575,38.069582,-78.700575,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,urn:uuid:5fcb5cc1-417e-43eb-b81c-ea749a64c61e,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=48858391,TRUE,three dimensional object||still image,model/x3d || image/tiff
PreservedSpecimen,Occurrence ID: 4d0d5b53-9e32-4919-bf39-3bed11149784,VTEC000004849,572184,"Epicauta (Dejean, 1834)",T. McAvoy (recorded by),1974-08-17,1974-08-17,1974-08-17,||lifeStage: Adult||preparations: pinned specimen,"""New Castle, Delaware, United States""",Newark,39.683723 || -75.749657,39.683723,-75.749657,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,urn:uuid:4d0d5b53-9e32-4919-bf39-3bed11149784,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=48858401,TRUE,three dimensional object||still image,model/x3d || image/tiff
PreservedSpecimen,Occurrence ID: 92f20cad-3e89-4701-a688-418566724c67,VTEC000004850,572186,"Pidonia aurata ((Horn, 1860))",Barry Lee Bressler (recorded by),1978-07-08,1978-07-08,1978-07-08,habitat: Spikenard||lifeStage: Adult||preparations: pinned specimen,"""Augusta, Virginia, United States""",Ramsey's Draft,38.346025 || -79.332694,38.346025,-79.332694,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,urn:uuid:92f20cad-3e89-4701-a688-418566724c67,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=48858404,TRUE,three dimensional object||still image,model/x3d || image/tiff
PreservedSpecimen,Occurrence ID: ec24cc76-21be-4ed8-9628-f89c38b41564,VTEC000004851,572189,Analeptura lineola,Mike Williams (recorded by),1970-06-25,1970-06-25,1970-06-25,||lifeStage: Adult||preparations: pinned specimen,"""Rockbridge, Virginia, United States""","Natue Camp, Vesuvius",37.876759 || -79.216433,37.876759,-79.216433,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,urn:uuid:ec24cc76-21be-4ed8-9628-f89c38b41564,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=48858421,TRUE,three dimensional object||still image,model/x3d || image/tiff
PreservedSpecimen,Occurrence ID: 4fb5d972-a1fc-41c3-81ee-e8a72a8201a0,VTEC000004853,572191,Typocerus lunulatus,Barry Lee Bressler (recorded by),,,,||lifeStage: Adult||preparations: pinned specimen,"""Spotsylvania, Virginia, United States""",Fredericksburg,38.303184 || -77.46054,38.303184,-77.46054,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,urn:uuid:4fb5d972-a1fc-41c3-81ee-e8a72a8201a0,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=48858451,TRUE,three dimensional object||still image,model/x3d || image/tiff
PreservedSpecimen,Occurrence ID: 2eb425c5-ba17-429e-a512-ea43c702d971,VTEC000004854,572192,Typocerus sinuatus,M. L. Bobb (recorded by),,,,||lifeStage: Adult||preparations: pinned specimen,"""Roanoke, Virginia, United States""",Bonsack,37.325356 || -79.869186,37.325356,-79.869186,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,urn:uuid:2eb425c5-ba17-429e-a512-ea43c702d971,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=48858459,TRUE,three dimensional object||still image,model/x3d || image/tiff
